word,level
a,2.0
abandon,4.5
abandoned,4.0
ability,3.0
able,6.0
abnormal,5.0
aboard,5.0
abolish,4.0
abortion,5.0
about,1.0
above,2.5
abroad,3.0
abrupt,6.0
abruptly,6.0
absence,4.0
absent,3.0
absolute,4.0
absolutely,3.5
absorb,4.5
abstract,4.0
absurd,4.0
abuse,4.5
abusive,6.0
academic,4.0
accelerate,5.5
accent,3.5
accept,4.0
acceptable,4.0
acceptance,5.0
accepted,5.0
access,3.0
accessible,5.0
accessory,5.0
accident,2.0
accidental,4.0
accidentally,3.0
acclaimed,5.0
accommodations,4.0
accompany,3.0
accomplish,5.0
account,3.5
accountable,6.0
accountant,3.0
accumulate,5.0
accumulation,6.0
accuracy,4.0
accurate,4.0
accurately,4.0
accusation,5.0
accuse,4.0
ache,3.5
achieve,3.0
achievement,3.0
acid,4.0
acknowledge,5.0
acquaintance,5.0
acquire,4.0
acre,6.0
across,2.0
act,3.5
action,5.0
active,3.5
actively,4.0
activity,4.0
actor,2.0
actual,4.0
actually,3.0
ad,1.0
adapt,4.0
adaptation,5.0
add,2.0
addict,4.0
addicted,4.0
addiction,4.0
addictive,5.0
addition,4.0
additional,4.0
address,5.0
adequate,4.0
adequately,4.0
adjacent,6.0
adjective,2.0
adjust,4.0
adjustment,4.0
administration,6.0
administrative,5.0
administrator,5.0
admiration,4.0
admire,3.5
admission,3.5
admit,3.0
admittedly,4.0
adolescent,6.0
adopt,4.0
adopted,4.0
adoption,4.0
adult,2.0
advance,4.0
advanced,2.5
advantage,3.5
adventure,2.0
adventurous,4.0
adverb,2.0
advertise,3.0
advertisement,2.0
advertising,4.0
advice,2.0
advise,3.0
adviser,5.0
advocate,6.0
affair,4.0
affect,4.0
affection,4.0
affectionate,6.0
affluent,5.0
affordable,5.0
afraid,2.5
after,3.0
afternoon,1.0
afterward,2.0
again,1.5
against,2.5
age,4.0
aged,2.0
agency,4.0
agenda,5.5
agent,4.0
ages,3.0
aggression,5.0
aggressive,4.5
aggressively,4.0
ago,2.0
agree,3.5
agreement,4.0
agriculture,4.0
ahead,3.5
aid,5.0
aim,3.0
air,2.0
aircraft,4.0
airline,3.0
airplane,2.0
airport,2.0
alarm,4.0
alarming,5.0
albeit,6.0
album,2.5
alcohol,2.0
alcoholic,6.0
alert,5.0
alike,4.0
alive,6.0
all,2.0
allegation,5.0
allege,6.0
alleged,5.0
allegedly,6.0
alliance,6.0
allied,6.0
allocate,5.0
allocation,6.0
allow,5.0
allowance,5.0
ally,5.5
almost,2.0
alone,4.0
along,3.0
alongside,5.0
aloud,3.0
alphabet,3.0
alphabetical,4.0
already,2.5
also,1.0
alter,4.0
alteration,5.0
alternate,5.0
alternative,4.0
alternatively,4.0
although,3.0
altogether,4.0
aluminum,4.0
always,2.0
am,1.0
amateur,5.0
amazed,3.0
amazement,4.0
amazing,2.5
amazingly,3.0
ambassador,4.0
ambiguity,6.0
ambiguous,6.0
ambition,3.5
ambitious,4.0
ambulance,3.0
amend,6.0
amendment,5.0
amid,5.5
among,4.0
amount,3.0
ample,5.0
amuse,4.0
amused,4.0
amusement,4.0
amusing,3.0
an,1.0
analogous,6.0
analogy,6.0
analysis,4.0
analyst,4.0
analytical,5.0
analyze,4.0
ancestor,4.0
anchor,6.0
ancient,3.0
and,1.0
angel,3.0
anger,4.0
angle,5.0
angrily,3.0
angry,2.0
animal,2.5
animated,4.5
animation,3.0
ankle,3.0
anniversary,3.0
announce,3.0
announcement,3.0
annoy,3.0
annoyance,5.0
annoyed,3.0
annoying,3.0
annual,3.0
annually,4.0
anonymous,6.0
another,2.0
answer,2.0
ant,3.0
antibiotic,6.0
anticipate,5.0
anticipation,6.0
antique,3.0
antisocial,5.0
anxiety,4.0
anxious,3.5
anxiously,4.0
any,1.0
anybody,2.5
anyhow,4.0
anymore,2.0
anyone,2.5
anything,1.0
anyway,2.0
anywhere,2.0
apart,4.0
apartment,2.0
apologetic,6.0
apologize,3.0
apology,3.0
apostrophe,4.0
appalling,6.0
apparent,4.5
apparently,4.0
appeal,4.5
appear,3.0
appearance,4.0
appetite,5.0
applaud,5.5
applause,5.0
apple,1.0
appliance,5.0
application,4.0
apply,4.0
appoint,5.0
appointment,4.0
appreciate,5.0
appreciation,4.0
approach,4.0
appropriate,4.0
appropriately,4.0
approval,4.0
approve,3.5
approximate,4.0
approximately,3.0
april,1.0
arbitrary,6.0
arch,6.0
archaeologist,5.0
archaeology,5.0
architect,3.0
architecture,3.0
area,3.0
argue,3.5
argument,3.5
arid,6.0
arise,5.0
arm,3.5
armchair,2.0
armed,4.0
army,6.0
around,2.0
arouse,6.0
arrange,3.5
arrangement,4.0
arrest,3.5
arrival,5.0
arrive,2.0
arrogant,4.0
arrow,4.0
art,2.0
article,3.0
artificial,5.0
artificially,4.0
artist,2.0
artistic,4.0
arts,5.0
as,2.5
ashamed,3.0
aside,4.0
ask,3.0
asleep,4.5
aspect,4.0
aspiration,6.0
aspirin,3.0
assault,6.0
assemble,6.0
assembly,6.0
assert,5.0
assertive,6.0
assess,4.0
assessment,4.0
asset,5.0
assign,5.0
assignment,3.0
assist,4.0
assistance,4.0
assistant,3.0
associate,5.0
association,5.0
assume,4.0
assumption,5.0
assurance,5.5
assure,4.5
astonished,4.0
astonishing,4.0
astonishment,4.0
astronomy,6.0
at,1.0
athlete,3.0
athletic,4.0
atmosphere,3.5
atom,4.0
atomic,4.0
attach,3.0
attached,4.0
attachment,4.0
attack,5.0
attain,5.0
attainable,6.0
attempt,3.5
attend,3.0
attendance,5.0
attention,3.0
attic,4.0
attitude,3.0
attorney,5.0
attract,3.0
attraction,4.5
attractive,3.0
attribute,6.0
auction,5.0
audience,3.5
audition,5.0
august,1.0
aunt,2.0
authentic,5.0
author,3.0
authority,4.5
authorize,5.0
automatic,6.0
automatically,4.0
availability,4.0
available,2.0
avenue,5.5
average,3.0
avoid,3.5
awake,3.0
award,4.0
aware,4.0
awareness,5.0
away,3.5
awe,6.0
awesome,4.0
awful,2.0
awkward,4.0
baby,1.5
babysit,3.0
babysitter,3.0
back,3.5
backache,3.0
background,4.0
backing,6.0
backpack,2.0
backpacker,3.0
backpacking,3.0
backup,4.0
backward,4.5
backyard,3.0
bacon,3.0
bacteria,5.0
bad,3.0
badge,4.0
badly,2.0
badminton,2.0
badtempered,4.0
bag,1.0
baggage,4.5
bake,2.0
baker,3.0
bakery,4.0
balance,4.0
balanced,4.0
balcony,4.5
bald,3.0
ball,1.0
ballet,4.0
balloon,2.0
ban,4.0
banana,1.0
band,3.5
bandage,2.0
bang,4.0
bank,2.5
banker,4.0
banking,3.0
bankrupt,5.0
bar,4.0
barbecue,2.0
barbecued,3.0
barber,3.0
barbershop,3.0
bare,5.5
barely,5.0
bargain,3.0
bark,5.0
barn,6.0
barrier,4.0
bartender,4.0
base,5.0
baseball,1.0
basement,4.0
basic,3.0
basically,4.0
basis,5.0
basket,3.0
basketball,1.0
bat,2.0
bath,1.0
bathroom,1.0
bathtub,3.0
battery,2.0
battle,5.0
bay,3.0
be,2.0
beach,1.0
beak,5.0
beam,4.0
bean,1.0
bear,5.0
beard,1.0
beat,4.0
beautiful,1.0
beautifully,3.0
beauty,3.0
because,1.0
bed,6.0
bedroom,1.0
bee,3.0
beef,3.0
beer,1.0
before,3.0
beg,4.0
begin,1.5
beginner,2.0
beginning,2.0
behave,3.0
behavior,3.0
behind,3.0
belief,4.0
believe,2.0
bell,3.5
belong,4.0
belongings,4.0
below,3.0
belt,2.0
bench,4.0
bend,4.0
beneath,5.0
beneficial,4.0
benefit,3.0
berry,4.0
beside,3.0
besides,3.0
best,1.0
bestseller,4.0
bet,5.5
betray,4.0
better,1.0
between,2.0
beware,5.0
beyond,5.0
bias,6.0
biased,5.0
bicycle,2.0
bid,5.5
big,2.0
bike,2.0
bikini,4.0
bilingual,5.0
bill,2.5
billion,4.0
bind,6.0
biography,3.0
biological,4.0
biology,2.0
bird,1.0
birth,3.5
birthday,1.0
bit,3.0
bite,4.0
bitter,4.0
bizarre,4.0
black,2.0
blackboard,2.0
blackmail,6.0
blade,4.0
blame,3.5
bland,6.0
blank,5.0
blanket,4.0
bleak,6.0
bleed,3.0
blend,6.0
blind,3.0
blindness,5.5
blink,4.0
blister,6.0
block,4.0
blog,3.0
blogger,3.0
blond,2.0
blood,4.0
bloody,4.5
blouse,1.0
blow,6.0
blue,2.0
blunt,6.0
blush,4.0
board,3.0
boast,5.0
boat,1.0
body,2.5
boil,3.0
boiled,3.0
boiling,4.0
bold,4.0
boldly,4.0
bomb,3.0
bomber,5.0
bombing,4.0
bond,5.0
bone,3.0
bonus,4.0
book,3.0
bookcase,1.0
booklet,4.0
bookmark,4.0
bookshelf,2.0
bookstore,1.0
boost,4.0
boot,1.0
border,3.0
bored,3.0
boring,1.0
borrow,3.5
boss,2.0
bossy,4.0
both,1.0
bother,4.0
bothered,4.0
bottle,2.0
bottom,2.5
bounce,4.5
bound,5.0
boundary,5.0
bow,4.0
bowl,2.0
box,1.5
boxing,3.0
boy,1.0
boyfriend,2.0
bra,4.0
bracelet,2.0
bracket,5.0
brain,3.5
brake,3.5
branch,3.0
brand,4.0
brass,5.5
brave,3.0
bravely,3.0
bravery,4.0
bread,1.0
break,3.0
breakable,4.0
breakdown,4.5
breakfast,1.0
breakthrough,4.0
breast,3.0
breath,3.0
breathe,3.0
breathtaking,4.0
breed,4.0
breeze,3.0
bribe,5.0
bribery,6.0
brick,4.0
bride,3.0
bridge,4.0
brief,3.0
briefly,3.0
bright,3.5
brightly,4.0
brilliant,3.0
brilliantly,4.0
bring,2.0
broad,3.0
broadband,4.0
broadcast,4.0
broaden,5.0
broadly,5.0
broadminded,6.0
broccoli,3.0
brochure,3.0
broken,2.0
bronze,6.0
brother,1.0
brotherinlaw,4.0
brown,1.5
browse,4.0
browser,4.0
bruise,4.0
brush,2.0
brutal,5.0
bubble,5.5
bucket,3.0
budget,4.0
bug,4.0
build,2.0
builder,3.0
building,2.0
bulb,3.0
bulky,5.0
bull,3.0
bullet,4.0
bully,5.0
bump,5.0
bumper,4.0
bun,4.0
bunch,3.0
bundle,6.0
burden,5.0
bureaucracy,6.0
burger,2.0
burglar,4.0
burglary,4.0
burial,6.0
burn,3.0
burning,3.0
burst,4.0
bury,3.5
bus,1.0
bush,4.0
business,2.0
businessman,2.0
businesswoman,2.0
busy,1.0
but,3.0
butcher,3.0
butt,5.0
butter,1.0
butterfly,3.0
button,3.0
buy,1.0
buyer,3.0
buzz,6.0
by,2.5
bye,1.0
cab,3.0
cabbage,3.0
cabin,3.0
cabinet,2.0
cable,3.5
cafeteria,2.0
café,1.0
cage,3.0
cake,1.0
calculate,4.0
calculation,4.0
calculator,3.0
calendar,3.0
calf,4.5
call,3.0
calm,3.0
calmly,4.0
camel,3.0
camera,1.0
camp,3.0
campaign,5.0
camping,2.0
campsite,3.0
campus,4.0
can,2.0
canal,3.0
cancel,3.0
cancellation,5.0
cancer,3.0
candidate,4.0
candle,3.0
candy,2.0
canned,4.0
cannot,1.0
cap,3.5
capability,5.0
capable,4.0
capacity,4.0
capital,2.0
capitalism,6.0
capitalist,6.0
captain,3.5
capture,4.0
car,3.0
carbon,4.0
card,2.5
cardboard,4.0
cardigan,4.0
care,3.0
career,4.5
carefree,6.0
careful,2.0
carefully,2.0
careless,3.0
carelessly,4.0
carelessness,4.0
cargo,6.0
caring,4.0
carnival,4.0
carpet,2.0
carriage,6.0
carrot,4.0
carry,4.5
cart,4.0
cartoon,2.0
carve,6.0
case,4.0
cash,2.5
casserole,6.0
cast,4.0
castle,2.0
casual,3.5
casually,4.0
casualty,6.0
cat,1.0
catalog,4.0
catastrophe,6.0
catch,3.0
category,4.0
cater,5.0
catering,4.0
cathedral,2.0
cattle,3.0
cause,4.5
caution,5.5
cautious,4.0
cave,3.0
cd,1.0
cdrom,3.0
cease,4.0
ceiling,4.0
celebrate,3.0
celebration,3.0
celebrity,3.0
cell,4.0
cellar,4.0
cello,4.0
cemetery,4.0
cent,2.0
center,2.0
centigrade,4.0
centimeter,2.0
central,5.0
century,2.0
cereal,3.5
ceremony,3.0
certain,3.0
certainly,2.0
certainty,5.0
certificate,3.0
chain,3.0
chair,1.0
challenge,4.0
challenging,3.0
champagne,2.0
champion,4.5
championship,3.0
chance,3.0
chancellor,6.0
change,2.0
changeable,5.0
channel,6.0
chaos,4.0
chaotic,5.0
chapel,6.0
chapter,3.0
character,4.5
characteristic,5.0
charge,4.0
charisma,6.0
charismatic,6.0
charity,4.5
charm,6.0
charming,3.0
chart,4.0
chase,5.0
chat,2.0
chatty,5.0
cheap,3.0
cheat,4.0
check,2.0
checkout,3.0
cheek,3.0
cheer,5.0
cheerful,3.5
cheerfully,4.0
cheerfulness,6.0
cheers,3.0
cheese,1.0
chef,2.0
chemical,4.0
chemist,3.0
chemistry,2.0
cherry,4.0
chess,2.0
chest,5.0
chew,4.0
chicken,2.0
chief,4.0
child,1.0
childhood,3.0
childish,4.0
chili,4.5
chill,6.0
chilly,5.0
chimney,4.0
chin,3.0
chip,4.0
chocolate,1.0
choice,3.0
choir,4.0
cholesterol,5.0
choose,1.0
chop,4.0
chore,5.0
chronic,6.0
church,2.0
cigarette,2.0
cinema,4.0
circle,3.5
circuit,6.0
circular,5.0
circulation,6.0
circumstance,4.0
circus,3.0
citizen,4.0
city,1.0
civil,5.0
civilian,6.0
civilization,4.5
claim,4.0
clap,3.0
clarification,5.0
clarify,5.0
clarity,6.0
clash,6.0
class,1.5
classic,4.0
classical,6.0
classification,6.0
classify,5.0
classmate,2.0
classroom,1.0
clause,4.0
clean,1.0
cleaner,2.0
clear,3.0
clearly,2.0
clever,3.0
cliché,6.0
clichéd,6.0
click,6.0
client,4.0
cliff,3.0
climate,4.5
climb,3.0
climbing,2.0
cling,6.0
clinic,3.0
clinical,5.5
clock,1.0
close,3.0
closed,1.0
closely,5.0
closeness,5.0
closet,2.0
closure,6.0
cloth,4.0
clothes,1.0
clothing,4.0
cloud,4.0
cloudy,2.0
clown,2.0
club,3.0
clue,4.0
clumsiness,6.0
clumsy,4.0
clutch,5.5
coach,3.5
coaching,4.0
coal,5.0
coast,3.0
coastal,4.0
coastline,6.0
coat,1.0
coconut,3.0
cod,3.0
code,4.5
coffee,1.0
coherence,6.0
coherent,6.0
coin,4.5
coincide,6.0
coincidence,4.0
cola,2.0
cold,2.0
coldness,6.0
collaborate,5.0
collaboration,5.0
collapse,4.0
collar,3.5
colleague,2.0
collect,3.0
collection,3.0
collector,4.0
college,2.0
collocation,4.0
colon,4.0
color,6.0
colorful,3.5
column,4.0
comb,2.5
combat,6.0
combination,4.0
combine,4.0
come,1.5
comeback,6.0
comedian,4.0
comedy,3.0
comfort,6.0
comfortable,3.5
comfortably,4.0
comforting,6.0
comic,2.5
comma,3.0
command,4.5
commander,6.0
commemorate,6.0
commence,6.0
comment,3.5
commerce,4.0
commercial,4.0
commit,5.0
commitment,4.0
committed,6.0
committee,4.0
commodity,5.0
common,3.0
commonly,5.0
communicate,3.5
communication,3.0
communicative,4.0
community,4.0
commute,5.0
companion,4.0
company,3.0
comparable,5.0
comparative,3.5
compare,3.0
comparison,4.0
compatible,6.0
compensate,5.5
compete,3.5
competence,5.0
competent,5.0
competition,3.0
competitive,4.0
competitor,3.0
compile,5.0
complain,3.0
complaint,4.0
complete,2.0
completely,3.0
completion,5.0
complex,5.0
complexion,6.0
complexity,6.0
complicate,5.0
complicated,3.0
complication,5.5
compliment,5.5
complimentary,6.0
comply,5.0
component,5.0
compose,4.0
composer,4.0
composition,6.0
comprehensive,5.0
comprehensively,5.0
comprise,5.0
compromise,4.0
compulsive,6.0
compulsory,4.0
computer,1.0
conceal,6.0
concede,6.0
conceited,6.0
conceive,6.0
concentrate,3.0
concentration,5.0
concept,4.0
conception,6.0
concern,4.0
concerned,5.0
concerning,4.0
concert,2.0
concession,6.0
conclude,5.0
conclusion,4.5
conclusive,6.0
conclusively,6.0
concrete,5.0
condemn,6.0
condition,4.5
conditions,3.0
conduct,4.0
conductor,4.0
conference,3.0
confess,4.0
confession,4.0
confidence,5.0
confident,3.5
confidential,5.0
confidently,4.0
confine,6.0
confirm,3.5
confirmation,4.0
conflict,4.0
confront,6.0
confrontation,6.0
confuse,4.0
confused,3.5
confusing,3.0
confusion,4.0
congestion,5.0
congratulate,4.0
congratulations,2.0
conjunction,4.0
connect,4.5
connection,4.0
conquer,5.0
conscience,6.0
conscientious,5.0
conscious,5.0
consciousness,4.5
consecutive,6.0
consensus,6.0
consent,5.5
consequence,4.0
consequently,4.0
conservation,4.5
conservative,5.0
consider,5.0
considerable,4.0
considerably,4.0
considerate,5.0
consideration,4.0
considering,4.0
consistent,6.0
consistently,6.0
consonant,3.0
constant,5.0
constantly,4.0
constitute,5.0
constitution,5.5
constitutional,6.0
constrain,6.0
constraint,6.0
construct,4.0
construction,4.0
constructive,5.0
consult,5.0
consultant,4.0
consultation,6.0
consume,4.5
consumer,4.0
consumption,5.0
contact,3.0
contain,4.0
container,4.0
contemplate,6.0
contemporary,4.0
contempt,6.0
content,4.0
contents,3.0
contest,4.5
contestant,5.0
context,4.5
continent,3.0
continental,6.0
continual,5.0
continually,5.0
continue,3.0
continuity,6.0
continuous,4.0
continuously,4.0
contraception,6.0
contraceptive,6.0
contract,6.0
contradict,5.5
contradiction,6.0
contradictory,6.0
contrary,6.0
contrast,6.0
contribute,4.5
contribution,4.0
control,4.0
controversial,4.0
controversy,5.0
convenience,4.5
convenient,3.0
conveniently,4.0
convention,5.0
conventional,4.0
conversation,1.0
conversion,6.0
convert,5.0
convey,5.0
convict,6.0
conviction,6.0
convince,3.0
convinced,4.0
convincing,5.0
cook,1.5
cookie,4.0
cooking,2.0
cool,3.5
coolness,6.0
cooperate,4.0
cooperation,4.0
cooperative,4.0
cope,4.0
copper,4.0
copy,4.0
coral,6.0
core,6.0
corn,3.0
corner,2.0
corporate,5.0
corporation,4.0
corpse,6.0
correct,3.5
correction,3.0
correctly,3.0
correspond,4.0
corresponding,6.0
corridor,4.0
corrupt,5.0
corruption,5.0
cosmopolitan,5.0
cost,3.0
costume,4.0
cottage,3.0
cotton,3.0
couch,2.0
cough,3.0
could,3.0
council,4.0
counsel,6.0
counseling,6.0
counselor,6.0
count,6.0
counter,5.0
counterpart,5.0
countless,5.0
country,1.0
countryside,3.0
county,4.0
coup,6.0
couple,3.0
courage,4.0
courageous,5.0
course,3.0
court,3.5
courteous,6.0
courtesy,4.0
cousin,2.0
cover,4.0
coverage,5.0
cow,1.0
coward,4.0
cowardly,4.0
cozy,3.0
crab,4.0
crack,5.0
crackdown,6.0
cracker,1.0
craft,4.0
crash,4.0
crave,6.0
craving,6.0
crawl,5.0
craziness,6.0
crazy,3.0
cream,2.0
create,3.0
creation,4.0
creative,3.0
creatively,4.0
creativity,4.0
creature,3.0
credibility,6.0
credit,3.5
creep,6.0
crew,3.5
cricket,4.0
crime,3.0
criminal,3.5
crisis,4.0
crisp,6.0
criterion,5.0
critic,4.5
critical,4.0
critically,4.0
criticism,4.0
criticize,4.0
crocodile,4.0
crop,3.0
cross,2.5
crossing,4.0
crossroads,4.0
crowd,3.5
crowded,2.0
crucial,4.0
crude,6.0
cruel,3.0
cruelly,4.0
cruelty,4.0
cruise,3.5
crumble,6.0
crush,6.0
cry,3.0
crystal,6.0
cucumber,3.0
cultivate,5.5
cultivation,5.0
cultural,3.0
culturally,4.0
culture,3.0
cunning,6.0
cup,2.0
cupboard,3.0
curb,6.0
cure,4.0
curiosity,4.0
curious,3.0
curiously,3.5
curly,3.0
currency,3.0
current,4.0
currently,4.0
curriculum,3.0
curry,2.0
cursor,4.0
curtain,2.0
curve,4.0
cushion,4.5
custody,6.0
custom,3.0
customary,5.0
customer,2.0
customs,3.0
cut,3.5
cutback,5.0
cuttingedge,5.0
cv,3.0
cycle,4.0
cycling,2.0
cyclist,3.0
cynical,6.0
dad,1.0
daily,2.0
dairy,4.0
damage,3.0
damaged,3.0
damn,3.0
damp,4.0
dance,2.0
dancer,2.0
dancing,1.0
danger,2.5
dangerous,2.0
dangerously,3.0
dark,2.0
darkness,4.0
darling,4.0
dash,4.0
data,4.0
database,4.0
date,3.0
dated,6.0
daughter,1.0
daughterinlaw,4.0
dawn,4.0
day,2.0
daydream,5.0
daylight,4.0
days,5.0
daytime,4.0
daytoday,5.0
dazed,6.0
dazzle,6.0
dazzling,6.0
dead,6.0
deadline,4.0
deadly,4.0
deaf,3.0
deal,4.0
dealer,4.0
dear,2.5
death,3.0
debate,5.0
debit,4.0
debt,4.0
debut,5.0
decade,4.0
decaffeinated,6.0
decay,5.0
deceased,6.0
deceive,4.0
december,1.0
decent,4.0
deception,6.0
deceptive,6.0
decide,4.0
decision,3.0
decisive,4.5
decisively,6.0
deck,3.0
declaration,5.0
declare,3.5
decline,4.0
decorate,3.0
decoration,4.0
decorative,4.0
decrease,3.0
dedicated,5.5
dedication,5.0
deduce,6.0
deduction,5.5
deem,6.0
deep,3.5
deepen,5.5
deeply,4.0
deer,4.0
defeat,3.5
defect,5.0
defective,6.0
defend,4.0
defender,4.0
defense,3.0
defensive,6.0
deficiency,5.5
deficit,5.0
define,4.0
definite,4.0
definitely,3.0
definition,4.5
definitive,6.0
defy,6.0
degree,3.0
delay,2.0
delegate,5.5
delegation,6.0
delete,3.0
deliberate,4.0
deliberately,4.0
delicate,4.5
delicious,3.0
delight,4.0
delighted,3.0
delightful,4.0
deliver,4.0
delivery,3.0
demand,3.5
demanding,4.0
democracy,4.0
democratic,4.0
demolish,4.0
demonstrate,4.5
demonstration,5.0
denial,6.0
denim,4.0
dense,4.0
densely,4.0
density,5.0
dental,4.0
dentist,2.0
deny,4.0
deodorant,5.0
depart,3.0
department,2.0
departure,3.0
dependence,6.0
dependent,4.0
depict,6.0
deposit,5.0
depressed,4.5
depressing,4.0
depression,5.0
deprivation,6.0
deprive,4.0
deprived,5.0
depth,4.0
deputy,5.0
descend,4.0
descendant,6.0
describe,2.0
description,3.0
desert,2.0
deserted,5.0
deserve,3.0
design,3.0
designer,3.5
desirable,4.0
desire,4.5
desk,1.0
desktop,4.0
despair,4.0
desperate,4.0
desperately,4.0
desperation,6.0
despite,3.0
dessert,2.0
destination,3.0
destiny,5.0
destroy,3.0
destruction,4.0
detached,6.0
detail,3.0
detailed,4.0
details,2.0
detect,5.0
detective,3.0
deteriorate,5.0
determination,4.0
determine,5.0
determined,4.0
determiner,4.0
deterrent,6.0
detrimental,6.0
devastated,5.0
devastating,5.5
devastation,6.0
develop,3.5
developed,4.0
developer,5.5
developing,4.0
development,3.5
device,4.0
devil,5.0
devise,6.0
devoted,4.0
diagnose,6.0
diagnosis,6.0
diagram,3.0
dial,3.0
dialect,6.0
dialogue,5.0
diamond,4.0
diarrhea,6.0
diary,2.0
dice,6.0
dictate,5.0
dictionary,1.0
die,1.0
diesel,5.0
diet,3.0
differ,4.0
difference,3.0
different,2.0
differentiate,5.5
differently,3.0
difficult,2.0
difficulty,3.5
dig,3.0
digest,5.0
digestion,5.0
digital,2.5
dignified,6.0
dignity,6.0
dilemma,4.0
dim,6.0
dime,5.0
dimension,4.0
diminish,5.0
dinner,1.0
dinosaur,2.0
dip,4.0
diploma,2.0
diplomacy,6.0
diplomat,4.0
diplomatic,5.5
diplomatically,6.0
direct,3.5
direction,5.0
directions,2.0
directly,3.5
director,3.0
directory,5.0
dirt,3.0
dirty,2.0
disability,4.0
disabled,3.0
disadvantage,3.0
disadvantaged,5.0
disagree,3.0
disagreement,4.0
disappear,3.0
disappearance,4.0
disappoint,3.0
disappointed,3.0
disappointing,3.0
disappointment,3.0
disapproval,5.0
disapprove,4.0
disaster,4.0
disastrous,5.0
discipline,5.0
disclose,6.0
disco,2.0
discomfort,6.0
discontent,5.0
discount,2.0
discourage,5.0
discover,3.0
discovery,4.5
discreet,6.0
discretion,6.0
discriminate,5.5
discrimination,5.0
discuss,2.0
discussion,3.0
disease,3.0
disgrace,4.0
disguise,4.0
disgust,6.0
disgusted,5.0
disgusting,3.0
dish,2.0
dishonest,4.0
dishonestly,5.0
dishonesty,4.0
dishwasher,3.0
disillusioned,6.0
disk,3.5
dislike,3.5
disloyal,6.0
dismay,6.0
dismiss,5.0
dismissal,5.0
disorder,5.0
disorganized,4.0
displace,5.0
displacement,5.0
display,3.5
